,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
CAPL,CrossAmerica Partners LP,"CrossAmerica Partners LP is engaged in the wholesale distribution of motor fuels, consisting of gasoline and diesel fuel. It also owns and leases real estate used in the retail distribution of motor fuels.",Hard,http://www.crossamericapartners.com,0.8Bil,12.6Mil,1.8Bil,"1,052",Energy,Oil & Gas Refining & Marketing
CCI,Crown Castle International Corp,"Crown Castle International Corp owns, operates and leases shared wireless infrastructure, including towers and other structures, such as rooftops, and other communication structures.",Aggressive,http://www.crowncastle.com,30.7Bil,0.4Bil,3.8Bil,"2,700",Communication Services,Telecom Services
CCK,Crown Holdings Inc,"Crown Holdings Inc is engaged in the design, manufacture and sale of packaging products for consumer goods. The Company's primary products include steel & aluminum cans for food, beverage, household and other consumer products and metal vacuum closures.",Cyclical,http://www.crowncork.com,7.4Bil,0.5Bil,8.4Bil,"24,000",Consumer Cyclical,Packaging & Containers
CRY,Cryolife Inc,Cryolife Inc is engaged in medical device manufacturing & distribution and in the processing & distribution of implantable human tissues for use in cardiac and vascular surgeries. The Company has two segments: Medical Devices and Preservation Services.,Slow,http://www.cryolife.com,0.6Bil,10.5Mil,0.2Bil,540,Healthcare,Medical Devices
CSRA,CSRA Inc,"CSRA Inc provides information technology services and solutions to U.S. federal government. Th Company's operating business segments are Defense and Intelligence, and Civil & services.",Slow,https://www.csra.com,5.2Bil,0.1Bil,4.8Bil,"18,000",Technology,Information Technology Services
CSS,CSS Industries Inc,"CSS Industries Inc is a consumer products company> The Company is engaged in the design, manufacture, procurement, distribution and sale of seasonal and all occasion social expression products to mass market retailers.",Cyclical,http://www.cssindustries.com,0.2Bil,12.8Mil,0.3Bil,"1,530",Consumer Cyclical,Specialty Retail
CST,CST Brands Inc,CST Brands Inc is an independent retailer of motor fuel and convenience merchandise in the U.S. and eastern Canada. Its retail operations include the sale of motor fuel and convenience merchandise items and services at convenience stores.,Cyclical,http://www.cstbrands.com,3.6Bil,0.3Bil,10.8Bil,"15,632",Consumer Cyclical,Specialty Retail
CTS,CTS Corp,"CTS Corp is a designer and manufacturer of electronic components and actuators to OEMs in the automotive, communications, medical, defense and aerospace, industrial and computer markets. The Company manufactures products in North America, Europe and Asia.",Cyclical,http://www.ctscorp.com,0.7Bil,12.4Mil,0.4Bil,"2,883",Technology,Electronic Components
CUBE,CubeSmart,"CubeSmart is a self-administered and self-managed real estate company engaged in the ownership, operation, acquisition and development of self-storage facilities in the United States.",Hard,http://www.cubesmart.com,4.4Bil,98.2Mil,0.5Bil,"1,837",Real Estate,REIT - Industrial
CUB,Cubic Corp,"Cubic Corp is engaged in the design, development, manufacture, integration, and sustainment of technology systems and products. It also provides engineering, training, technical, logistic, and information technology services.",Cyclical,http://www.cubic.com,1.3Bil,29.2Mil,1.5Bil,"8,300",Industrials,Aerospace & Defense
CFR,Cullen/Frost Bankers Inc,"Cullen/Frost Bankers Inc is a financial holding company and a bank holding company. It offers commercial and consumer banking services, trust and investment management, insurance, brokerage, mutual funds, capital markets advisory and item processing.",Cyclical,http://www.frostbank.com,5.2Bil,0.3Bil,1.1Bil,"4,211",Financial Services,Banks - Regional - US
CFI,Culp Inc,"Culp Inc manufacturers, sources, and markets mattress fabrics and sewn covers used for covering mattresses & box springs and upholstery fabrics including cut and sewn kits used in production of upholstered furniture.",Cyclical,http://www.culp.com,0.4Bil,17.5Mil,0.3Bil,"1,217",Consumer Cyclical,Textile Manufacturing
CMI,Cummins Inc,"Cummins Inc designs, manufactures, distributes and services diesel and natural gas engines, electric power generation systems and engine-related component products.",Cyclical,http://www.cummins.com,22.7Bil,1.2Bil,17.8Bil,"55,200",Industrials,Diversified Industrials
CW,Curtiss-Wright Corp,"Curtiss-Wright Corp is a diversified manufacturing and service company. It designs, manufactures, and overhauls precision components and provides engineered products and services to the aerospace, defense, automotive, and metalworking industries.",Cyclical,http://www.curtisswright.com,4.4Bil,0.2Bil,2.1Bil,"8,400",Industrials,Diversified Industrials
CUBI,Customers Bancorp Inc,"Customers Bancorp Inc through its wholly owned subsidiary Customers Bank, provides financial products and services to small and middle market businesses, not-for-profits, and consumers. It also provides lending to mortgage banking businesses.",Cyclical,http://customersbank.com,0.9Bil,76.1Mil,0.3Bil,757,Financial Services,Banks - Regional - US
CVT,Cvent Inc,Cvent Inc is a cloud-based enterprise event management company. The Company provides end-to-end cloud solutions for both sides of the corporate events and meetings ecosystem.,Speculative,http://www.cvent.com,1.5Bil,-24.0Mil,0.2Bil,"1,910",Technology,Software - Application
CVI,CVR Energy Inc,"CVR Energy Inc, through its subsidiaries is engaged in the petroleum refining and nitrogen fertilizer manufacturing industries. Its business segments include petroleum and nitrogen fertilizer.",Hard,http://www.coffeyvillegroup.com,1.5Bil,-27.4Mil,4.4Bil,"1,332",Energy,Oil & Gas Refining & Marketing
UAN,CVR Partners LP,CVR Partners LP along with its subsidiaries produces and distributes nitrogen fertilizer products used by farmers to improve the yield and quality of their crops. Its products include UAN and ammonia.,Cyclical,http://www.cvrpartners.com,0.6Bil,6.3Mil,0.3Bil,149,Basic Materials,Agricultural Inputs
CVRR,CVR Refining LP,"CVR Refining LP is an independent downstream energy limited partnership with refining & related logistics assets that operates in the mid-continent region. Its business includes a complex full coking medium-sour crude oil refinery in Coffeyville, Kansas.",Hard,http://www.cvrrefining.com,1.3Bil,-96.2Mil,4.1Bil,968,Energy,Oil & Gas Refining & Marketing
CVS,CVS Health Corp,"CVS Health Corp iis an integrated pharmacy health care provider. The Company has three segments: Pharmacy Services, Retail Pharmacy and Corporate.",Classic,http://www.cvshealth.com,79.0Bil,5.1Bil,172.7Bil,"243,000",Healthcare,Health Care Plans
CELP,Cypress Energy Partners LP,Cypress Energy Partners LP provides saltwater disposal and other water and environmental services to U.S. onshore oil and natural gas producers and trucking companies.,Hard,http://www.cypressenergy.com,0.1Bil,-5.4Mil,0.3Bil,,Energy,Oil & Gas Equipment & Services
CYS,CYS Investments Inc,CYS Investments Inc is a specialty finance company that invests on a leveraged basis in residential mortgage pass-through securities for achieving consistent risk-adjusted investment income.,Hard,http://www.cysinv.com,1.2Bil,0.2Bil,0.2Bil,15,Real Estate,REIT - Diversified
DHI,D.R. Horton Inc,"D.R. Horton Inc constructs and sells homes through its operating divisions in states and metropolitan markets of the United States, under the names of D.R. Horton, America's Builder, Emerald Homes, Breland Homes, Express Homes and Regent Homes.",Cyclical,http://www.drhorton.com,10.6Bil,0.9Bil,12.2Bil,"6,230",Consumer Cyclical,Residential Construction
CB,Chubb Ltd,"Chubb Ltd offers commercial insurance products and service offerings such as risk management programs, loss control and engineering and complex claims management.",,http://www.chubb.com,58.8Bil,3.2Bil,28.0Bil,"22,000",Financial Services,Insurance - Property & Casualty
DAN,Dana Inc,"Dana Inc provides technology driveline, sealing and thermal-management products for vehicle manufacturers in the light vehicle, medium/heavy vehicle and off-highway markets.",Cyclical,http://www.dana.com,2.4Bil,73.0Mil,5.8Bil,"23,800",Consumer Cyclical,Auto Parts
DHR,Danaher Corp,"Danaher Corp designs, manufactures & markets professional, medical, industrial & commercial products.",Cyclical,http://www.danaher.com,54.6Bil,2.5Bil,22.8Bil,"81,000",Industrials,Diversified Industrials
DAC,Danaos Corp,"Danaos Corp is the owner of containerships, chartering its vessels to many of the liner companies. It deploys its containership fleet mainly under multi-year charters with liner companies that operate regularly scheduled routes between commercial ports.",,http://www.danaos.com,0.4Bil,0.1Bil,0.6Bil,"1,370",Industrials,Shipping & Ports
DQ,Daqo New Energy Corp ADR,"Daqo New Energy Corp is polysilicon manufacturer based in China. The Company manufactures and sells polysilicon to photovoltaic product manufacturers, who further process its polysilicon into ingots, wafers, cells and modules for solar power solutions.",,http://www.dqsolar.com,0.2Bil,49.0Mil,0.2Bil,"1,624",Technology,Semiconductor Equipment & Materials
DRI,Darden Restaurants Inc,"Darden Restaurants Inc owns and operates dining restaurants. Some of its trade names are Olive Garden, LongHorn Steakhouse, Bahama Breeze, Seasons 52, Eddie V's Prime Seafood, Wildfish Seafood Grille and Yard House.",Cyclical,http://www.darden.com,9.0Bil,0.4Bil,7.0Bil,"150,942",Consumer Cyclical,Restaurants
DAR,Darling Ingredients Inc,"Darling Ingredients Inc is a developer & producer of natural ingredients from edible & inedible bio-nutrients, creating customized specialty solutions for customers in the food, pet food, pharmaceutical, feed, fuel, bioenergy & fertilizer industries.",Slow,http://www.darlingii.com,2.2Bil,0.1Bil,3.3Bil,"10,000",Industrials,Waste Management
DVA,DaVita Inc,"DaVita Inc, formerly DaVita HealthCare Partners Inc operates kidney dialysis centers and provides related lab services in dialysis centers and in contracted hospitals across USA. It also operates other ancillary services and strategic initiatives.",Slow,http://www.davita.com,12.1Bil,0.7Bil,14.6Bil,"60,400",Healthcare,Medical Care
DPM,DCP Midstream Partners LP,"DCP Midstream Partners LP along with its subsidiaries is engaged gathering, compressing, treating, processing, transporting, storing and selling natural gas; NGLs and condensate; and transporting, storing and selling propane in wholesale markets.",Hard,http://www.dcppartners.com,3.9Bil,0.3Bil,1.5Bil,628,Energy,Oil & Gas Midstream
DCT,DCT Industrial Trust Inc,"DCT Industrial Trust Inc is an industrial real estate company. The Company is engaged in the acquisition, development, leasing and management of bulk distribution and light industrial properties located in the United States.",Hard,http://www.dctindustrial.com,4.0Bil,0.1Bil,0.4Bil,143,Real Estate,REIT - Industrial
DDR,DDR Corp,"DDR Corp is a self-administered and self-managed REIT, engaged in acquiring, owning, developing, redeveloping, leasing and managing shopping centers.",Hard,http://www.ddr.com,5.5Bil,0.1Bil,1.0Bil,576,Real Estate,REIT - Retail
