MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
2/27/2014,37.86,,3/19/2015,23.14,,2/27/2014,62.12
2/28/2014,38.31,,3/20/2015,23.67,,2/28/2014,62.83
3/3/2014,37.78,,3/23/2015,24.47,,3/3/2014,62.22
3/4/2014,38.41,,3/24/2015,24.49,,3/4/2014,63.01
3/5/2014,38.11,,3/25/2015,23.8,,3/5/2014,62.62
3/6/2014,38.15,,3/26/2015,19.52,,3/6/2014,63.02
3/7/2014,37.9,,3/27/2015,19.16,,3/7/2014,63.13
3/10/2014,37.82,,3/30/2015,19.77,,3/10/2014,63.05
3/11/2014,38.02,,3/31/2015,19.69,,3/11/2014,63.29
3/12/2014,38.27,,4/1/2015,20.28,,3/12/2014,63.22
3/13/2014,37.89,,4/2/2015,20.82,,3/13/2014,63.23
3/14/2014,37.7,,4/6/2015,20.4,,3/14/2014,63.83
3/17/2014,38.05,,4/7/2015,20.54,,3/17/2014,64.4
3/18/2014,39.55,,4/8/2015,20.46,,3/18/2014,64.34
3/19/2014,39.27,,4/9/2015,20.24,,3/19/2014,63.39
3/20/2014,40.33,,4/10/2015,20.24,,3/20/2014,63.59
3/21/2014,40.16,,4/13/2015,19.68,,3/21/2014,63.46
3/24/2014,40.5,,4/14/2015,19.14,,3/24/2014,63.31
3/25/2014,40.34,,4/15/2015,20.25,,3/25/2014,63.77
3/26/2014,39.79,,4/16/2015,20.01,,3/26/2014,64.27
3/27/2014,39.36,,4/17/2015,18.64,,3/27/2014,64.06
3/28/2014,40.3,,4/20/2015,19.94,,3/28/2014,64.1
3/31/2014,40.99,,4/21/2015,19.23,,3/31/2014,64.87
4/1/2014,41.42,,4/22/2015,19.54,,4/1/2014,64.22
4/2/2014,41.35,,4/23/2015,19.66,,4/2/2014,64.3
4/3/2014,41.01,,4/24/2015,19.33,,4/3/2014,64.28
4/4/2014,39.87,,4/27/2015,19.23,,4/4/2014,64.22
4/7/2014,39.8,,4/28/2015,19,,4/7/2014,64.92
4/8/2014,39.82,,4/29/2015,18.75,,4/8/2014,65.63
4/9/2014,40.47,,4/30/2015,18.51,,4/9/2014,65.73
4/10/2014,39.36,,5/1/2015,18.74,,4/10/2014,65.94
4/11/2014,39.209,,5/4/2015,18.87,,4/11/2014,65.31
4/14/2014,39.18,,5/5/2015,18.91,,4/14/2014,65.86
4/15/2014,39.75,,5/6/2015,19.2,,4/15/2014,66.37
4/16/2014,40.4,,5/7/2015,20.06,,4/16/2014,67.18
4/17/2014,40.01,,5/8/2015,19,,4/17/2014,66.94
4/21/2014,39.94,,5/11/2015,19.54,,4/21/2014,66.84
4/22/2014,39.99,,5/12/2015,19.2,,4/22/2014,66.36
4/23/2014,39.69,,5/13/2015,19.52,,4/23/2014,65.87
4/24/2014,39.86,,5/14/2015,19.99,,4/24/2014,66.43
4/25/2014,39.91,,5/15/2015,19.97,,4/25/2014,66.24
4/28/2014,40.87,,5/18/2015,19.56,,4/28/2014,67.86
4/29/2014,40.51,,5/19/2015,19.56,,4/29/2014,67.04
4/30/2014,40.4,,5/20/2015,19.38,,4/30/2014,67.3
5/1/2014,40,,5/21/2015,19.48,,5/1/2014,67.01
5/2/2014,39.69,,5/22/2015,20.16,,5/2/2014,67.1
5/5/2014,39.43,,5/26/2015,19.43,,5/5/2014,66.9
5/6/2014,39.06,,5/27/2015,19.75,,5/6/2014,66.71
5/7/2014,39.425,,5/28/2015,19.5,,5/7/2014,67.23
5/8/2014,39.64,,5/29/2015,19.5,,5/8/2014,67.1
5/9/2014,39.54,,6/1/2015,19.6,,5/9/2014,67.65
5/12/2014,39.97,,6/2/2015,19.32,,5/12/2014,67.19
5/13/2014,40.42,,6/3/2015,19.21,,5/13/2014,67.26
5/14/2014,40.24,,6/4/2015,19.05,,5/14/2014,66.96
5/15/2014,39.6,,6/5/2015,19.42,,5/15/2014,66.41
5/16/2014,39.83,,6/8/2015,19,,5/16/2014,66.92
5/19/2014,39.75,,6/9/2015,18.66,,5/19/2014,66.73
5/20/2014,39.68,,6/10/2015,19.28,,5/20/2014,66.56
5/21/2014,40.35,,6/11/2015,18.99,,5/21/2014,66.81
5/22/2014,40.1,,6/12/2015,18.85,,5/22/2014,66.61
5/23/2014,40.12,,6/15/2015,19.27,,5/23/2014,66.73
5/27/2014,40.19,,6/16/2015,18.79,,5/27/2014,66.71
5/28/2014,40.01,,6/17/2015,18.96,,5/28/2014,66.12
5/29/2014,40.34,,6/18/2015,18.83,,5/29/2014,66.92
5/30/2014,40.94,,6/19/2015,19.04,,5/30/2014,68.4
6/2/2014,40.79,,6/22/2015,19.57,,6/2/2014,68.21
6/3/2014,40.29,,6/23/2015,19.93,,6/3/2014,67.24
6/4/2014,40.32,,6/24/2015,19.78,,6/4/2014,67.71
6/5/2014,41.21,,6/25/2015,19.5,,6/5/2014,67.96
6/6/2014,41.48,,6/26/2015,19.37,,6/6/2014,68.02
6/9/2014,41.27,,6/29/2015,18.82,,6/9/2014,68.44
6/10/2014,41.11,,6/30/2015,18.68,,6/10/2014,68.69
6/11/2014,40.86,,7/1/2015,18.99,,6/11/2014,68.62
6/12/2014,40.58,,7/2/2015,18.28,,6/12/2014,67.84
6/13/2014,41.23,,7/6/2015,17.98,,6/13/2014,67.86
6/16/2014,41.5,,7/7/2015,18.05,,6/16/2014,68.09
6/17/2014,41.68,,7/8/2015,18.13,,6/17/2014,67.89
6/18/2014,41.65,,7/9/2015,18.23,,6/18/2014,68.73
6/19/2014,41.51,,7/10/2015,18.78,,6/19/2014,69.43
6/20/2014,41.68,,7/13/2015,19.04,,6/20/2014,68.38
6/23/2014,41.99,,7/14/2015,19.17,,6/23/2014,67.83
6/24/2014,41.745,,7/15/2015,19.22,,6/24/2014,67.95
6/25/2014,42.03,,7/16/2015,19.57,,6/25/2014,67.95
6/26/2014,41.72,,7/17/2015,19.59,,6/26/2014,67.9
6/27/2014,42.25,,7/20/2015,19.45,,6/27/2014,68.43
6/30/2014,41.7,,7/21/2015,19.38,,6/30/2014,68.18
7/1/2014,41.87,,7/22/2015,19.2,,7/1/2014,68.48
7/2/2014,41.9,,7/23/2015,18.48,,7/2/2014,68.47
7/3/2014,41.8,,7/24/2015,18.15,,7/3/2014,68.82
7/7/2014,41.99,,7/27/2015,18,,7/7/2014,68.86
7/8/2014,41.78,,7/28/2015,18.36,,7/8/2014,69.5
7/9/2014,41.67,,7/29/2015,18.53,,7/9/2014,69.65
7/10/2014,41.685,,7/30/2015,18.13,,7/10/2014,69.42
7/11/2014,42.09,,7/31/2015,18.08,,7/11/2014,69.52
7/14/2014,42.14,,8/3/2015,17.23,,7/14/2014,69.79
7/15/2014,42.45,,8/4/2015,17.11,,7/15/2014,69.66
7/16/2014,44.08,,8/5/2015,13.11,,7/16/2014,69.45
7/17/2014,44.53,,8/6/2015,13.1,,7/17/2014,68.6
7/18/2014,44.69,,8/7/2015,13.28,,7/18/2014,68.9
7/21/2014,44.835,,8/10/2015,13.39,,7/21/2014,68.76
7/22/2014,44.83,,8/11/2015,11.72,,7/22/2014,68.59
7/23/2014,44.87,,8/12/2015,12.22,,7/23/2014,68.17
7/24/2014,44.4,,8/13/2015,12.05,,7/24/2014,68.11
7/25/2014,44.5,,8/14/2015,12.11,,7/25/2014,67.59
7/28/2014,43.97,,8/17/2015,12.1,,7/28/2014,67.33
7/29/2014,43.885,,8/18/2015,12.32,,7/29/2014,66.36
7/30/2014,43.5785,,8/19/2015,12.08,,7/30/2014,66.11
7/31/2014,43.16,,8/20/2015,12.06,,7/31/2014,63.4
8/1/2014,42.86,,8/21/2015,11.62,,8/1/2014,63.95
8/4/2014,43.37,,8/24/2015,11.09,,8/4/2014,63.76
8/5/2014,43.08,,8/25/2015,10.81,,8/5/2014,63.77
8/6/2014,42.74,,8/26/2015,11.62,,8/6/2014,64.8
8/7/2014,43.23,,8/27/2015,12.37,,8/7/2014,64.45
8/8/2014,43.2,,8/28/2015,12.95,,8/8/2014,65.18
8/11/2014,43.2,,8/31/2015,13,,8/11/2014,65.06
8/12/2014,43.52,,9/1/2015,12.35,,8/12/2014,64.42
8/13/2014,44.08,,9/2/2015,12.46,,8/13/2014,64.38
8/14/2014,44.27,,9/3/2015,12.35,,8/14/2014,64.21
8/15/2014,44.79,,9/4/2015,12.46,,8/15/2014,64.13
8/18/2014,45.11,,9/8/2015,12.68,,8/18/2014,64.62
8/19/2014,45.33,,9/9/2015,13.01,,8/19/2014,64.26
8/20/2014,44.95,,9/10/2015,12.89,,8/20/2014,64.67
8/21/2014,45.22,,9/11/2015,11.44,,8/21/2014,64.81
8/22/2014,45.15,,9/14/2015,11.51,,8/22/2014,64.57
8/25/2014,45.17,,9/15/2015,11.75,,8/25/2014,64.87
8/26/2014,45.005,,9/16/2015,11.9,,8/26/2014,64.79
8/27/2014,44.87,,9/17/2015,11.9,,8/27/2014,64.83
8/28/2014,44.88,,9/18/2015,11.38,,8/28/2014,64.51
8/29/2014,45.43,,9/21/2015,11.55,,8/29/2014,64.73
9/2/2014,45.09,,9/22/2015,11.27,,9/2/2014,64.42
9/3/2014,44.96,,9/23/2015,10.88,,9/3/2014,64.42
9/4/2014,45.26,,9/24/2015,10.95,,9/4/2014,64.31
9/5/2014,45.91,,9/25/2015,10.8,,9/5/2014,64.86
9/8/2014,46.47,,9/28/2015,10.19,,9/8/2014,63.64
9/9/2014,46.76,,9/29/2015,10.22,,9/9/2014,63.43
9/10/2014,46.84,,9/30/2015,10.22,,9/10/2014,64
9/11/2014,47,,10/1/2015,10.17,,9/11/2014,64.42
9/12/2014,46.695,,10/2/2015,10.61,,9/12/2014,64.48
9/15/2014,46.24,,10/5/2015,10.8,,9/15/2014,64.51
9/16/2014,46.76,,10/6/2015,11,,9/16/2014,65.14
9/17/2014,46.52,,10/7/2015,11.67,,9/17/2014,65.24
9/18/2014,46.68,,10/8/2015,12.93,,9/18/2014,65.31
9/19/2014,47.52,,10/9/2015,12.22,,9/19/2014,65.28
9/22/2014,47.06,,10/12/2015,12.44,,9/22/2014,65.69
9/23/2014,46.56,,10/13/2015,12.49,,9/23/2014,65.4
9/24/2014,47.08,,10/14/2015,12.61,,9/24/2014,66.23
9/25/2014,46.04,,10/15/2015,13.11,,9/25/2014,65.48
9/26/2014,46.41,,10/16/2015,13.23,,9/26/2014,65.7
9/29/2014,46.44,,10/19/2015,13.37,,9/29/2014,65.63
9/30/2014,46.36,,10/20/2015,12.95,,9/30/2014,65.22
10/1/2014,45.9,,10/21/2015,12.77,,10/1/2014,64.89
10/2/2014,45.76,,10/22/2015,12.66,,10/2/2014,64.78
10/3/2014,46.09,,10/23/2015,12.84,,10/3/2014,65.46
10/6/2014,46.09,,10/26/2015,12.98,,10/6/2014,65.27
10/7/2014,45.53,,10/27/2015,12.46,,10/7/2014,64.9
10/8/2014,46.78,,10/28/2015,13.1,,10/8/2014,65.82
10/9/2014,45.85,,10/29/2015,12.99,,10/9/2014,65.2
10/10/2014,44.03,,10/30/2015,13,,10/10/2014,65.29
10/13/2014,43.65,,11/2/2015,13.16,,10/13/2014,64.19
