MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
10/14/2014,43.73,,11/3/2015,12.92,,10/14/2014,64.41
10/15/2014,43.22,,11/4/2015,12.74,,10/15/2014,63.53
10/16/2014,42.74,,11/5/2015,8.79,,10/16/2014,63.11
10/17/2014,43.63,,11/6/2015,9.04,,10/17/2014,63.73
10/20/2014,44.08,,11/9/2015,8.92,,10/20/2014,64.54
10/21/2014,44.88,,11/10/2015,8.77,,10/21/2014,65.42
10/22/2014,44.38,,11/11/2015,8.77,,10/22/2014,65.32
10/23/2014,45.02,,11/12/2015,8.44,,10/23/2014,65.05
10/24/2014,46.13,,11/13/2015,8.04,,10/24/2014,65.35
10/27/2014,45.91,,11/16/2015,7.99,,10/27/2014,66.11
10/28/2014,46.49,,11/17/2015,7.75,,10/28/2014,65.79
10/29/2014,46.62,,11/18/2015,7.76,,10/29/2014,65.85
10/30/2014,46.05,,11/19/2015,7.7,,10/30/2014,66.41
10/31/2014,46.95,,11/20/2015,7.37,,10/31/2014,66.88
11/3/2014,47.44,,11/23/2015,7.39,,11/3/2014,67.41
11/4/2014,47.57,,11/24/2015,7.48,,11/4/2014,68.05
11/5/2014,47.86,,11/25/2015,7.5,,11/5/2014,68.15
11/6/2014,48.7,,11/27/2015,7.5,,11/6/2014,68.11
11/7/2014,48.68,,11/30/2015,7.52,,11/7/2014,68.05
11/10/2014,48.89,,12/1/2015,7.64,,11/10/2014,68.55
11/11/2014,48.87,,12/2/2015,7.32,,11/11/2014,68.47
11/12/2014,48.78,,12/3/2015,6.99,,11/12/2014,68.7
11/13/2014,49.61,,12/4/2015,6.79,,11/13/2014,68.29
11/14/2014,49.58,,12/7/2015,6.31,,11/14/2014,67.56
11/17/2014,49.46,,12/8/2015,6.4,,11/17/2014,67.92
11/18/2014,48.74,,12/9/2015,6.45,,11/18/2014,67.97
11/19/2014,48.22,,12/10/2015,6.63,,11/19/2014,68.29
